Price,Close,High,Low,Open,Volume,Stock,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,NVDA,NVDA,NVDA,NVDA,NVDA,AMD,AMD,AMD,AMD,AMD,INTC,INTC,INTC,INTC,INTC,TSLA,TSLA,TSLA,TSLA,TSLA,GM,GM,GM,GM,GM,F,F,F,F,F,JPM,JPM,JPM,JPM,JPM,BAC,BAC,BAC,BAC,BAC,GS,GS,GS,GS,GS,WMT,WMT,WMT,WMT,WMT,COST,COST,COST,COST,COST,NKE,NKE,NKE,NKE,NKE,DIS,DIS,DIS,DIS,DIS,PEP,PEP,PEP,PEP,PEP,KO,KO,KO,KO,KO
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2018,,,,,,META,,,,,,,,,,,,,,,,140.568084716796,144.033865234986,139.515440256156,143.477752323926,18542100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2018,,,,,,META,,,,,,,,,,,,,,,,141.173858642578,143.874991576929,140.63759606504,141.014964904571,15141700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2018,,,,,,META,,,,,,,,,,,,,,,,143.21955871582,144.570125111737,140.56808210861,142.703161671014,22068400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/2018,,,,,,META,,,,,,,,,,,,,,,,142.852142333984,143.835265169366,139.853087333122,141.342682080492,30320300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2018,,,,,,META,,,,,,,,,,,,,,,,138.562103271484,140.786570233341,136.81431754263,140.091429043055,37250600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2018,,,,,,META,,,,,,,,,,,,,,,,130.637451171875,136.794439235745,130.299813361465,136.655411010697,44362700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/2018,,,,,,META,,,,,,,,,,,,,,,,131.511337280273,133.229347330146,125.970051015362,126.148802674003,41939500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2018,,,,,,META,,,,,,,,,,,,,,,,133.884780883789,136.238335695555,133.199564887213,133.46768102705,25469700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2018,,,,,,META,,,,,,,,,,,,,,,,130.816207885742,133.56699712512,130.34946698095,132.72288736464,11886100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/26/2018,,,,,,META,,,,,,,,,,,,,,,,135.433944702148,136.049638949182,131.858911632088,132.077386717089,24263600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2018,,,,,,META,,,,,,,,,,,,,,,,134.063522338867,135.662354581766,132.782477570478,134.808319685194,20750300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2018,,,,,,META,,,,,,,,,,,,,,,,135.811309814453,135.841100496471,130.93538130456,135.334643749223,29847500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018,,,,,,META,,,,,,,,,,,,,,,,137.718002319335,139.018927887196,134.718962256206,134.977153242552,24238700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2018,,,,,,META,,,,,,,,,,,,,,,,139.634613037109,139.992116384676,136.40715773236,137.300908524806,25732600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/2018,,,,,,META,,,,,,,,,,,,,,,,140.111282348632,142.683312383356,139.783569676391,142.008036685119,24819200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2018,,,,,,META,,,,,,,,,,,,,,,,136.973175048828,142.395305804277,136.208527433691,139.75375453488,30307400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/2018,,,,,,META,,,,,,,,,,,,,,,,138.661437988281,138.730944542036,132.742773858331,132.891742449996,28218100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/2018,,,,,,META,,,,,,,,,,,,,,,,136.466735839843,139.892800666341,135.712013303196,138.284043217172,21195500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
